"","SubjID","Image.1","Image.2","Image.3","T2.1","T3.1","T4.1","T.7","gender","age","height","weight","education","marriage","wor.env","environmentalist","gov.staff","smoke","T.35.2","fam.income","Location","Image","sub.topic","topic"
"529","A20170827A1015","<U+53F0><U+98CE>","<U+9AD8><U+6E29>","<U+5168><U+7403><U+53D8><U+6696>","2","1","3","5","1","42","170","140","6","2",NA,"<U+5426>","0","<U+662F>",NA,"3","Yangzhou","Image.1.tag","a-3","a"
"530","A20170827A1012","<U+5929><U+6709><U+4E0D><U+6D4B><U+98CE><U+4E91>","<U+96F7><U+7535><U+4EA4><U+52A0>","<U+98CE><U+4E91><U+53D8><U+5E7B>","2","1","1","3","0","47","160","100","7","2","3","<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","z","t"
"531","B0120170826a0801","<U+522E><U+53F0><U+98CE>","<U+66B4><U+96E8>","<U+96F7><U+7535>","1","1","1","3","1","65","175","150","3","2","2","<U+5426>","0","<U+662F>",NA,"3","Yangzhou","Image.1.tag","a-3","a"
"532","B0120170826a0802","<U+522E><U+5927><U+98CE><U+66B4><U+96E8>","<U+53F0><U+98CE><U+3001><U+96F7><U+7535>",NA,NA,"1","1","3","1","63","150","138","3","2","3",NA,NA,"<U+662F>","1","3","Yangzhou","Image.1.tag","s-1","s"
"533","B0120170826a0803","<U+522E><U+53F0><U+98CE>",NA,NA,NA,NA,NA,"4","0","51","162","120","3","2","3","<U+662F>","0","<U+5426>","0","3","Yangzhou","Image.1.tag","a-3","a"
"534","B0120170826a0804","<U+522E><U+53F0><U+98CE>","<U+4E0B><U+66B4><U+96E8>","<U+96F7><U+7535>","1","1","1","3","0","41","162","102","3","2",NA,"<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","a-3","a"
"535","B0120170826a0807","<U+6E29><U+5BA4><U+6548><U+5E94>","<U+5168><U+7403><U+53D8><U+6696>","<U+96FE><U+973E>","3","1","1","3","0","33","165","126","7","2","1","<U+5426>","1","<U+5426>","1","4","Yangzhou","Image.1.tag","h-2","h"
"536","B0120170826a0808","<U+5927><U+6C14>","<U+4E8C><U+6C27><U+5316><U+78B3>","<U+7070><U+5C18>","1","1","1","3","1","60","174","82","2","2",NA,"<U+5426>","0","<U+662F>","0","3","Yangzhou","Image.1.tag","c-1","c"
"537","B0120170826a0809","<U+72C2><U+98CE>","<U+66B4><U+96E8>","<U+6D2A><U+6D9D>","2","1","1","5","0","37","162","118","6","2","3","<U+662F>","0","<U+5426>","1","5","Yangzhou","Image.1.tag","s-1","s"
"538","B0120170826a0810","<U+4E0D><U+9002><U+5E94><U+65F6><U+5F71><U+54CD><U+5065><U+5EB7>",NA,NA,NA,"1",NA,"5","0","70","156","120","5","2","3",NA,NA,"<U+5426>","0","5","Yangzhou","Image.1.tag","e-2","e"
"539","B0120170826a0811","<U+547C><U+5438><U+4E0D><U+7545>","<U+98DE><U+9E1F><U+51CF><U+5C11>","<U+6C34><U+8D28><U+6C61><U+67D3>","2","1","1","3","0","38","170","115","6","2","1","<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","e-2","e"
"540","B0120170826a0812","<U+6C99><U+5C18>","<U+4E0B><U+96EA><U+5C11>","<U+6C34><U+6C61><U+67D3>","2","3","1","3","1","29","175","132","6","2","1","<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","a-8","a"
"541","B0120170826a0813","<U+98CE><U+96E8><U+96F7><U+7535>",NA,NA,"1","1",NA,"5","1","80","156","138","4","4",NA,"<U+662F>","0","<U+5426>","0",NA,"Yangzhou","Image.1.tag","s-1","s"
"542","B0120170826a0816","<U+53F0><U+98CE>","<U+96F7><U+7535>","<U+66B4><U+96E8>","2","2","1","4","0","67","155","116","3","2","3","<U+662F>",NA,"<U+5426>","0","3","Yangzhou","Image.1.tag","a-3","a"
"543","B0120170826a0817","<U+53F0><U+98CE>",NA,NA,NA,"2","2","5","0","56","164","118","3","2",NA,"<U+662F>","0","<U+5426>","0","3","Yangzhou","Image.1.tag","a-3","a"
"544","B0220170826a0801","<U+708E><U+70ED><U+9AD8><U+6E29>","<U+5BD2><U+51B7>","<U+66B4><U+96E8>","2","2","1","4","0","52","165","136","6","2","1","<U+5426>","0","<U+5426>","0","4","Yangzhou","Image.1.tag","t-2","t"
"545","B0220170826a0802","<U+72C2><U+98CE><U+66B4><U+96E8>",NA,NA,"2","1","1","3","0","40","160","110","6","2","1","<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","s-1","s"
"546","B0220170826a0803","<U+53F0><U+98CE>","<U+66B4><U+96E8>","<U+964D><U+6E29>","2","1","1","4","1","43","174","148","7","2","1","<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","a-3","a"
"547","B0220170826a0804","<U+60F3><U+7740><U+9002><U+5E94><U+7684><U+65B9><U+6CD5>",NA,NA,NA,NA,NA,"5","0","63","154","138","1","2",NA,"<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","f-4","f"
"548","B0220170826a0808","<U+5F53><U+5FC3>",NA,NA,"2","1","3","5","0","70","156","112","4","2",NA,"<U+5426>",NA,"<U+5426>","0","3","Yangzhou","Image.1.tag","f-4","f"
"549","B0220170826a0809","<U+53F0><U+98CE>",NA,NA,"2",NA,"1","4","0","66","168","122","3","2",NA,"<U+5426>","0","<U+5426>","2","3","Yangzhou","Image.1.tag","a-3","a"
"550","B0220170826a0811","<U+9AD8><U+6E29><U+5929><U+6C14><U+4E0D><U+5728><U+6237><U+5916>","<U+5927><U+98CE><U+9AD8><U+6E29>","<U+5730><U+9707><U+65F6><U+51B7><U+9759>","2","2","1","4","1","61","169","120","6","2","1","<U+5426>","0","<U+662F>","0","8","Yangzhou","Image.1.tag","f-3","f"
"551","B0220170826a0812","<U+66B4><U+96E8>","<U+53F0><U+98CE>","<U+5730><U+9707>","1","1","1","3","0","28","163","130","6","2","1","<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","s-1","s"
"552","B0220170826a0814","<U+503E><U+76C6><U+5927><U+96E8>",NA,NA,"2",NA,"2","4","0","50","156","100","4","2","2","<U+5426>","0","<U+5426>","0","4","Yangzhou","Image.1.tag","s-1","s"
"553","B0220170827a0802","<U+996E><U+98DF><U+8C03><U+8282><U+9002><U+5E94><U+6C14><U+5019>",NA,NA,"3","1","1","3","1","62","178","156","4","2","1","<U+662F>","1","<U+5426>","1","8","Yangzhou","Image.1.tag","f-4","f"
"554","B0220170827a0803","<U+6781><U+7AEF><U+5929><U+6C14>","<U+53D8><U+5316><U+65E0><U+5E38>",NA,"2","1","1","4","0","66","165","114",NA,"2",NA,NA,NA,"<U+5426>","0","4","Yangzhou","Image.1.tag","x","t"
"555","B0220170827a0804","<U+5168><U+7403><U+53D8><U+6696>","<U+51CF><U+6392>","<U+589E><U+52A0><U+7EFF><U+5316>","3","3","3","5","0","61","162","110","3","2",NA,"<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","h-1","h"
"556","B0220170827a0806","<U+57FA><U+672C><U+5B89><U+5168>","<U+65E0><U+6050><U+60E7><U+611F>","<U+6709><U+601D><U+60F3><U+51C6><U+5907>",NA,NA,"1","5","1","75","163","115","5","2","1","<U+5426>","0","<U+5426>","0","4","Yangzhou","Image.1.tag","f-4","f"
"557","B0220170827a0807","<U+72C2><U+98CE><U+66B4><U+96E8>",NA,NA,"1","1","1","5","0","30","168","120","6","2","1","<U+662F>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","s-1","s"
"558","B0220170827a0808","<U+6C7D><U+8F66>","<U+5316><U+5DE5>","<U+7A7A><U+8C03>","1","1","1","5","0","64","163","108","6","2","1","<U+5426>","0","<U+5426>",NA,"4","Yangzhou","Image.1.tag","d-1","d"
"559","B0220170827a0811","<U+72C2><U+98CE><U+66B4><U+96E8>","<U+7535><U+95EA><U+96F7><U+9E23>",NA,"1","1","1","5","0","67","165","120","2","2",NA,"<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","s-1","s"
"560","B0120170827a0803","<U+4E0D><U+711A><U+70E7><U+9999>","<U+4E0D><U+71C3><U+70E7><U+6742><U+7269>","<U+4E0D><U+70E7><U+79F8><U+79C6>",NA,"1","1","3","1","78","175","160","4","2",NA,NA,NA,"<U+662F>",NA,"4","Yangzhou","Image.1.tag","g-2","g"
"561","B0120170827a0806","<U+6781><U+7AEF><U+6C14><U+5019>","<U+5384><U+5C14><U+5C3C><U+8BFA>","<U+6D77><U+5E73><U+9762><U+4E0A><U+5347>","1","1","2","5","1","25","175","131","8","1","1","<U+662F>","0","<U+5426>","0","4","Yangzhou","Image.1.tag","x","t"
"562","B0120170827a0810","<U+72C2><U+98CE><U+66B4><U+96E8>","<U+96F7><U+7535><U+4EA4><U+52A0>","<U+6674><U+7A7A><U+4E07><U+91CC>","1","1","1","5","1","65","170","150","5","2","3","<U+5426>","0","<U+5426>","2","5","Yangzhou","Image.1.tag","s-1","s"
